transformacion,lambda,alpha,rmse,mse
yj,1,0.1,0.0018508628,3.4256927e-06
yj,-1,0.2,0.0025284272,6.392944e-06
yj,1,0.2,0.00198339,3.933836e-06
yj,-1,0.5,0.0027414223,7.5153957e-06
yj,1,0.5,0.002430921,5.9093773e-06
yj,-1,0.8,0.0028410119,8.071349e-06
yj,1,0.8,0.0026557716,7.0531228e-06
yj,2,0.005,0.0028250297,7.980792e-06
yj,2,0.05,0.002408125,5.7990655e-06
yj,2,0.1,0.002422997,5.8709143e-06
yj,2,0.2,0.002616995,6.8486634e-06
yj,2,0.5,0.0031634585,1.0007469e-05
yj,2,0.8,0.0033022412,1.0904797e-05
